target_name	e_value	score	description
Q6ITC0	9.4e-14	46.3	-
P82966	9.5e-14	46.2	-
Q6ITB5	9.6e-14	46.2	-
C8YJ97	9.8e-14	46.2	-
Q6ITB8	1.4e-13	45.7	-
P0DL86	1.4e-13	45.7	-
E7FL11	1.5e-13	45.6	-
A8Y7P4	1.5e-13	45.6	-
C0HJF4	1.6e-13	45.5	-
F8J2F4	1.7e-13	45.5	-
P0DN12	1.7e-13	45.4	-
P10832	1.9e-13	45.3	-
Q6ITC1	2e-13	45.2	-
A8Y7N5	2.1e-13	45.1	-
B5L5R1	2.1e-13	45.1	-
B5KL32	2.2e-13	45.1	-
B5KL38	2.2e-13	45.0	-
B2G331	2.4e-13	44.9	-
P0DJ82	2.7e-13	44.8	-
B5KF94	2.8e-13	44.7	-
Q5ZPJ7	3e-13	44.7	-
B2KTG1	3.2e-13	44.5	-
D8KY58	3.3e-13	44.5	-
C0HJF3	3.3e-13	44.5	-
Q6ITB7	3.4e-13	44.5	-
B5KL31	3.7e-13	44.4	-
P0DV03	3.7e-13	44.3	-
Q9TWF9	3.8e-13	44.3	-
Q6ITB3	4.2e-13	44.2	-
B5KL30	4.2e-13	44.2	-
B5KL41	4.2e-13	44.2	-
Q2ES48	4.3e-13	44.1	-
A8Y7P5	4.9e-13	43.9	-
P26228	5e-13	43.9	-
P0DJ46	5.1e-13	43.9	-
D2Y2Q7	5.2e-13	43.9	-
Q03610	5.3e-13	43.9	-
B5KL33	5.3e-13	43.8	-
A6MFL2	5.4e-13	43.8	-
D2Y2G1	5.8e-13	43.7	-
P0DJ84	5.8e-13	43.7	-
A8Y7P1	6.6e-13	43.5	-
Q8T0W4	6.8e-13	43.5	-
D2Y2Q5	9.3e-13	43.1	-
P0DJ48	9.4e-13	43.0	-
D2Y2Q8	1.1e-12	42.9	-
H2A0P0	1.1e-12	42.8	-
P0DV06	1.1e-12	42.8	-
P10831	1.1e-12	42.8	-
D2Y2Q9	1.3e-12	42.6	-
P00983	1.3e-12	42.6	-
H2A0N5	1.5e-12	42.4	-
P0DJ49	1.5e-12	42.4	-
D2Y2Q2	1.6e-12	42.3	-
A6MFL1	1.6e-12	42.3	-
P0DJ45	1.7e-12	42.2	-
H2A0N1	1.8e-12	42.1	-
P0DN15	2e-12	42.0	-
P81162	2.7e-12	41.6	-
H2A0M2	2.8e-12	41.5	-
P15989	3e-12	41.4	-
B5L5R6	3e-12	41.4	-
A6MGX9	3.3e-12	41.3	-
P0DN16	3.6e-12	41.2	-
Q589G4	3.9e-12	41.1	-
P86959	4.6e-12	40.8	-
D2Y2Q1	4.7e-12	40.8	-
D2Y488	5.6e-12	40.6	-
G3LH89	5.9e-12	40.5	-
P86964	1.1e-11	39.6	-
C8YJ96	1.2e-11	39.5	-
P81658	1.3e-11	39.3	-
P07481	1.4e-11	39.3	-
F8J2F6	1.4e-11	39.3	-
Q1RPS8	1.5e-11	39.1	-
Q2UY09	2.2e-11	38.7	-
P0DMJ1	2.3e-11	38.6	-
F6ULY1	2.5e-11	38.5	-
Q96NZ8	2.7e-11	38.4	-
O95925	2.8e-11	38.3	-
F5GTK6	3e-11	38.2	-
Q4KUS1	3.1e-11	38.2	-
P12111	5.5e-11	37.4	-
Q7T2Q6	5.8e-11	37.3	-
Q90W96	6.1e-11	37.2	-
Q6ITB2	7.4e-11	37.0	-
B5L5Q1	1.3e-10	36.2	-
P19859	1.3e-10	36.2	-
Q1RPS9	1.5e-10	36.0	-
C0HLB0	1.5e-10	36.0	-
B5KL29	1.5e-10	36.0	-
B5KL27	1.7e-10	35.8	-
P16344	2.5e-10	35.3	-
P0DQR0	2.6e-10	35.2	-
D2Y2Q6	2.8e-10	35.1	-
I6VXS1	3.2e-10	34.9	-
O95428	5.1e-10	34.3	-
Q3UW55	5.7e-10	34.1	-
Q0PL65	5.8e-10	34.1	-
D4A2Z2	6.2e-10	34.0	-
Q2UY11	7.6e-10	33.7	-
H2A0N9	1.2e-09	33.1	-
B5M0W4	1.4e-09	32.9	-
G9I929	1.4e-09	32.8	-
Q9D263	1.5e-09	32.8	-
Q90W97	1.8e-09	32.5	-
B5KL28	1.9e-09	32.4	-
Q8AY46	2.3e-09	32.2	-
B2KTG2	4e-09	31.4	-
Q8R0S6	4.3e-09	31.3	-
P11424	4.4e-09	31.3	-
P0CY85	4.6e-09	31.2	-
D2Y2F5	4.9e-09	31.1	-
P0DJ71	4.9e-09	31.1	-
P0DJ85	5.4e-09	31.0	-
Q9EPX2	5.9e-09	30.9	-
P00987	6.4e-09	30.7	-
Q9W728	7e-09	30.6	-
B2KTG3	9.3e-09	30.2	-
P0DJ80	1e-08	30.1	-
B2ZBB8	1e-08	30.1	-
P0DJ75	1e-08	30.1	-
P0DJ78	1e-08	30.1	-
B2ZBC0	1.1e-08	30.0	-
P0C5J5	1.4e-08	29.7	-
B2ZBB9	1.5e-08	29.5	-
D2Y2F9	1.5e-08	29.5	-
P0DJ65	1.5e-08	29.5	-
D2Y2C2	1.5e-08	29.5	-
P0DJ70	1.5e-08	29.5	-
Q9BDL1	1.7e-08	29.3	-
D2Y2F8	2e-08	29.1	-
D2Y2F4	2.3e-08	29.0	-
P0DJ67	2.3e-08	29.0	-
D2Y2F6	3.1e-08	28.5	-
P0DJ72	3.1e-08	28.5	-
D2Y2F7	3.3e-08	28.4	-
P0DJ73	3.3e-08	28.4	-
D2Y2F3	3.7e-08	28.3	-
P0DJ64	3.7e-08	28.3	-
B5L5Q6	4e-08	28.2	-
P0DJ79	4.1e-08	28.1	-
M9PE65	4.3e-08	28.1	-
Q75S50	4.4e-08	28.1	-
Q8AY44	4.4e-08	28.1	-
C0LNR2	4.4e-08	28.0	-
Q8AY45	4.5e-08	28.0	-
Q9DA01	6.2e-08	27.6	-
Q1RPT0	8.2e-08	27.2	-
P00989	8.3e-08	27.2	-
P0DJ81	9.6e-08	27.0	-
Q02388	1.5e-07	26.4	-
Q63870	2.3e-07	25.8	-
D2Y2G2	3.4e-07	25.2	-
P0DJ68	3.4e-07	25.2	-
Q2ES49	4.1e-07	24.9	-
D2Y2G0	5.3e-07	24.6	-
B4ESA2	8.7e-07	23.9	-
B5L5Q3	8.8e-07	23.9	-
P0C1X2	1.2e-06	23.4	-
Q6UDR6	1.3e-06	23.3	-
Q7Z1K3	1.4e-06	23.2	-
P86963	6.8e-06	21.0	-
Q8IUA0	1.1e-05	20.4	-
D9IFL3	1.1e-05	20.4	-
Q9BQY6	3.1e-05	18.9	-
Q11101	4.5e-05	18.4	-
Q8MVC4	0.00052	15.0	-
Q8WPG5	0.15	7.0	-
