target_name	accession	e_value	score	description
sp|Q8WPI2|KUNIH_RHIMP	-	1.7e-23	87.8	Boophilin-H2 OS=Rhipicephalus microplus OX=6941 PE=1 SV=1
sp|C0HMC7|KUN_HAEDO	-	8.1e-23	85.6	Doenitin-1 OS=Haemaphysalis doenitzi OX=1048531 PE=2 SV=1
sp|P48307|TFPI2_HUMAN	-	2e-22	84.4	Tissue factor pathway inhibitor 2 OS=Homo sapiens OX=9606 GN=TFPI2 PE=1 SV=1
sp|Q9WU03|SPIT2_MOUSE	-	2.1e-22	84.3	Kunitz-type protease inhibitor 2 OS=Mus musculus OX=10090 GN=Spint2 PE=1 SV=1
sp|B2BS84|VKT_AUSLA	-	4.5e-21	80.0	Putative Kunitz-type serine protease inhibitor OS=Austrelaps labialis OX=471292 PE=2 SV=1
sp|Q9R097|SPIT1_MOUSE	-	4.3e-20	76.9	Kunitz-type protease inhibitor 1 OS=Mus musculus OX=10090 GN=Spint1 PE=1 SV=2
sp|P00974|BPT1_BOVIN	-	2e-19	74.7	Pancreatic trypsin inhibitor OS=Bos taurus OX=9913 PE=1 SV=2
sp|Q5VJG2|KUNI_AMBHE	-	3e-19	74.1	Amblin OS=Amblyomma hebraeum OX=34608 PE=1 SV=1
sp|O43278|SPIT1_HUMAN	-	4e-19	73.8	Kunitz-type protease inhibitor 1 OS=Homo sapiens OX=9606 GN=SPINT1 PE=1 SV=2
sp|P00980|VKTHA_DENAN	-	4e-19	73.7	Kunitz-type serine protease inhibitor homolog alpha-dendrotoxin OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1
sp|P00979|VKTH1_DENPO	-	5.3e-19	73.4	Kunitz-type serine protease inhibitor homolog dendrotoxin I OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=2
sp|P04815|BPT2_BOVIN	-	1.8e-17	68.5	Spleen trypsin inhibitor I OS=Bos taurus OX=9913 PE=1 SV=2
sp|P00975|IBPS_BOVIN	-	2.4e-17	68.0	Serum basic protease inhibitor OS=Bos taurus OX=9913 PE=1 SV=1
sp|P00978|AMBP_BOVIN	-	5.1e-17	67.0	Protein AMBP OS=Bos taurus OX=9913 GN=AMBP PE=1 SV=2
sp|P02760|AMBP_HUMAN	-	5.6e-17	66.9	Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1
sp|Q60559|AMBP_MESAU	-	5.6e-17	66.9	Protein AMBP OS=Mesocricetus auratus OX=10036 GN=AMBP PE=1 SV=1
sp|Q06481|APLP2_HUMAN	-	1.1e-15	62.7	Amyloid beta precursor like protein 2 OS=Homo sapiens OX=9606 GN=APLP2 PE=1 SV=2
sp|Q62577|AMBP_MERUN	-	1.8e-15	62.0	Protein AMBP OS=Meriones unguiculatus OX=10047 GN=AMBP PE=2 SV=1
sp|Q07456|AMBP_MOUSE	-	1.1e-14	59.5	Protein AMBP OS=Mus musculus OX=10090 GN=Ambp PE=1 SV=2
sp|P15943|APLP2_RAT	-	1.2e-14	59.4	Amyloid beta precursor like protein 2 OS=Rattus norvegicus OX=10116 GN=Aplp2 PE=1 SV=2
sp|P0DMJ6|VKT12_DENAN	-	1.8e-14	58.8	Kunitz-type serine protease inhibitor dendrotoxin DaE1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1
sp|Q7LZS8|VKTRE_DENAN	-	1.8e-14	58.8	Kunitz-type serine protease inhibitor long epsilon-dendrotoxin Arg55 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1
sp|O62845|ELAC_NOTEU	-	1.9e-14	58.7	Early lactation protein OS=Notamacropus eugenii OX=9315 GN=ELP PE=1 SV=1
sp|C1IC50|VKT1_WALAE	-	2e-14	58.7	Protease inhibitor 1 OS=Walterinnesia aegyptia OX=64182 PE=1 SV=1
sp|P00994|ISIK_HELPO	-	2.9e-14	58.2	Isoinhibitor K OS=Helix pomatia OX=6536 PE=1 SV=1
sp|Q29428|TKDP1_SHEEP	-	4.6e-14	57.5	Trophoblast Kunitz domain protein 1 OS=Ovis aries OX=9940 GN=TKDP1 PE=2 SV=1
sp|Q6T6S5|VKT2_BITGA	-	4.8e-14	57.4	Kunitz-type serine protease inhibitor bitisilin-2 OS=Bitis gabonica OX=8694 PE=1 SV=1
sp|C0HLB2|VKT_PSEPC	-	5e-14	57.4	Kunitz-type serine protease inhibitor PPTI OS=Pseudocerastes persicus OX=47769 PE=1 SV=1
sp|Q90W98|VKT4_PSETT	-	5.1e-14	57.4	Kunitz-type serine protease inhibitor textilinin-4 OS=Pseudonaja textilis textilis OX=169397 PE=2 SV=1
sp|Q08E66|WFKN2_BOVIN	-	5.2e-14	57.3	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 OS=Bos taurus OX=9913 GN=WFIKKN2 PE=2 SV=1
sp|C0HLA5|MAMB2_DENVI	-	5.5e-14	57.3	Mambaquaretin-2 OS=Dendroaspis viridis OX=8621 PE=1 SV=1
sp|P00991|VKT1_VIPAA	-	5.8e-14	57.2	Kunitz-type serine protease inhibitor 1 OS=Vipera ammodytes ammodytes OX=8705 PE=1 SV=2
sp|B5L5M7|IVBI_AUSSU	-	6.3e-14	57.1	Kunitz/BPTI-like toxin OS=Austrelaps superbus OX=29156 PE=3 SV=1
sp|C0HLA7|MAMB4_DENVI	-	6.5e-14	57.0	Mambaquaretin-4 OS=Dendroaspis viridis OX=8621 PE=1 SV=1
sp|P00984|VKTE_DENPO	-	7.6e-14	56.8	Kunitz-type serine protease inhibitor dendrotoxin E OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1
sp|Q7LZE3|VKTHE_DENAN	-	7.6e-14	56.8	Kunitz-type serine protease inhibitor long epsilon-dendrotoxin His55 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=2
sp|Q64240|AMBP_RAT	-	8.2e-14	56.7	Protein AMBP OS=Rattus norvegicus OX=10116 GN=Ambp PE=1 SV=1
sp|Q29100|UPTI_PIG	-	8.3e-14	56.7	Uterine plasmin/trypsin inhibitor OS=Sus scrofa OX=9823 PE=1 SV=1
sp|B7S4N9|VKT_OXYSC	-	8.3e-14	56.7	Kunitz-type serine protease inhibitor taicotoxin OS=Oxyuranus scutellatus scutellatus OX=8667 PE=1 SV=1
sp|C0HLA8|MAMB5_DENJA	-	1e-13	56.4	Mambaquaretin-5 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1
sp|C0HLA6|MAMB3_DENPO	-	1e-13	56.4	Mambaquaretin-3 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1
sp|P0DKL8|VKT_VIPRE	-	1.1e-13	56.3	Kunitz-type serine protease inhibitor Vur-KIn OS=Vipera renardi OX=927686 PE=1 SV=1
sp|Q28201|TKDP1_BOVIN	-	1.1e-13	56.3	Trophoblast Kunitz domain protein 1 OS=Bos taurus OX=9913 GN=TKDP1 PE=2 SV=2
sp|P00993|IBP_CARCR	-	1.3e-13	56.0	Chelonianin OS=Caretta caretta OX=8467 PE=1 SV=1
sp|I2G9B4|VKT_MACLN	-	1.7e-13	55.7	Kunitz-type serine protease inhibitor PIVL OS=Macrovipera lebetina transmediterranea OX=384075 PE=1 SV=1
sp|P10280|VKT52_ANESU	-	1.9e-13	55.5	KappaPI-actitoxin-Avd3a OS=Anemonia sulcata OX=6108 PE=1 SV=2
sp|P0DV05|VKT2O_RADCR	-	2.6e-13	55.1	PI-stichotoxin-Hcr2o OS=Radianthus crispa OX=3122430 PE=3 SV=1
sp|A0A1D0BND9|TD1A_HADIN	-	2.8e-13	55.0	U13-hexatoxin-Hi1a OS=Hadronyche infensa OX=153481 PE=2 SV=1
sp|P24541|VKT_ERIMA	-	3.3e-13	54.8	Kunitz-type serine protease inhibitor OS=Eristicophis macmahoni OX=110227 PE=1 SV=1
sp|C0HJU7|VKT2G_RADCR	-	3.4e-13	54.7	PI-stichotoxin-Hcr2g OS=Radianthus crispa OX=3122430 PE=1 SV=1
sp|C0HK72|3API_HETMG	-	3.4e-13	54.7	PI-stichotoxin-Hmg3a OS=Heteractis magnifica OX=38281 PE=1 SV=1
sp|Q29143|ELAC_TRIVU	-	3.4e-13	54.7	Early lactation protein OS=Trichosurus vulpecula OX=9337 GN=ELP PE=1 SV=1
sp|P0DMW7|VKT3B_ACTEQ	-	3.5e-13	54.7	PI-actitoxin-Aeq3b OS=Actinia equina OX=6106 PE=1 SV=1
sp|P0DN08|VKT53_ANEVI	-	3.6e-13	54.6	KappaPI-actitoxin-Avd3e OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|Q2ES47|VKT4_DABRR	-	3.7e-13	54.6	Kunitz-type serine protease inhibitor 4 OS=Daboia russelii OX=8707 PE=2 SV=1
sp|P0DN09|VKT5_ANEVI	-	3.9e-13	54.5	U-actitoxin-Avd3h OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|C1IC52|VKT2_WALAE	-	4e-13	54.5	Kunitz-type serine protease inhibitor spermatin OS=Walterinnesia aegyptia OX=64182 PE=1 SV=1
sp|P0DMW6|VKT3A_ACTEQ	-	4.9e-13	54.2	PI-actitoxin-Aeq3a OS=Actinia equina OX=6106 PE=1 SV=1
sp|Q6T6T5|VKT1_BITGA	-	5.1e-13	54.2	Kunitz-type serine protease inhibitor bitisilin-1 OS=Bitis gabonica OX=8694 PE=1 SV=1
sp|A0A1Z0YU59|MAMB1_DENAN	-	6.1e-13	53.9	Mambaquaretin-1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=2
sp|P00986|VKT2_NAJNI	-	6.5e-13	53.8	Kunitz-type serine protease inhibitor 2 OS=Naja nivea OX=8655 PE=1 SV=1
sp|P0DJ47|VKT12_OLIMR	-	6.5e-13	53.8	Kunitz-type serine protease inhibitor BmKTT-3 OS=Olivierus martensii OX=34649 PE=3 SV=1
sp|Q90W99|VKT3_PSETT	-	6.8e-13	53.8	Kunitz-type serine protease inhibitor textilinin-3 OS=Pseudonaja textilis textilis OX=169397 PE=2 SV=1
sp|E5AJX3|VKT_VIPNI	-	6.8e-13	53.8	Kunitz-type serine protease inhibitor ki-VN OS=Vipera nikolskii OX=1808362 PE=2 SV=1
sp|C0HLA9|MAMB6_DENVI	-	6.9e-13	53.7	Mambaquaretin-6 OS=Dendroaspis viridis OX=8621 PE=1 SV=1
sp|A8Y7N9|VKTC6_DABSI	-	7.2e-13	53.7	Kunitz-type serine protease inhibitor C6 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|P49223|SPIT3_HUMAN	-	1e-12	53.2	Kunitz-type protease inhibitor 3 OS=Homo sapiens OX=9606 GN=SPINT3 PE=1 SV=3
sp|Q8AY43|VKTA_BUNCA	-	1.1e-12	53.1	Kunitz-type serine protease inhibitor A OS=Bungarus candidus OX=92438 PE=2 SV=2
sp|C1IC51|VKT3_WALAE	-	1.1e-12	53.0	Protease inhibitor 3 OS=Walterinnesia aegyptia OX=64182 PE=3 SV=1
sp|Q2ES46|VKT5_DABRR	-	1.3e-12	52.8	Kunitz-type serine protease inhibitor 5 OS=Daboia russelii OX=8707 PE=2 SV=1
sp|P0C8W3|VKT11_HOFGE	-	1.4e-12	52.8	Kunitz-type serine protease inhibitor Hg1 OS=Hoffmannihadrurus gertschi OX=380989 PE=1 SV=1
sp|B6RLX2|VKTCT_OPHHA	-	1.6e-12	52.5	Kunitz-type serine protease inhibitor TCI OS=Ophiophagus hannah OX=8665 PE=1 SV=1
sp|P00985|VKT2_HEMHA	-	1.7e-12	52.5	Kunitz-type serine protease inhibitor 2 OS=Hemachatus haemachatus OX=8626 PE=1 SV=1
sp|P00976|IBPC_BOVIN	-	1.9e-12	52.4	Colostrum trypsin inhibitor OS=Bos taurus OX=9913 PE=1 SV=2
sp|P0DMJ4|VKTI3_ANTFU	-	1.9e-12	52.3	PI-actitoxin-Afv2b OS=Anthopleura fuscoviridis OX=6111 PE=1 SV=1
sp|Q6NUX0|WFKN_DANRE	-	1.9e-12	52.3	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein OS=Danio rerio OX=7955 GN=wfikkn PE=2 SV=1
sp|P0DN07|VKT4_ANEVI	-	2e-12	52.3	U-actitoxin-Avd3g OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|P00992|VKT3_VIPAA	-	2.1e-12	52.2	Kunitz-type serine protease inhibitor 3 OS=Vipera ammodytes ammodytes OX=8705 PE=1 SV=2
sp|C1IC53|VKT4_WALAE	-	2.3e-12	52.0	Protease inhibitor 4 OS=Walterinnesia aegyptia OX=64182 PE=1 SV=1
sp|P00982|VKTHD_DENAN	-	2.6e-12	51.9	Kunitz-type serine protease inhibitor homolog delta-dendrotoxin OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1
sp|P0DN11|VKT7_ANEVI	-	2.6e-12	51.9	U-actitoxin-Avd3j OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|P0DMX0|VKT3_ANTAF	-	2.7e-12	51.8	PI-actitoxin-Axm2b OS=Anthopleura aff. xanthogrammica OX=152178 PE=1 SV=1
sp|P86862|VKT1_ANTEL	-	2.8e-12	51.8	KappaPI-actitoxin-Ael3a OS=Anthopleura elegantissima OX=6110 PE=1 SV=1
sp|F8J2F5|VKT87_DRYCN	-	2.8e-12	51.8	Kunitz-type serine protease inhibitor 87 OS=Drysdalia coronoides OX=66186 PE=1 SV=1
sp|B4ESA4|VKT3L_BUNMU	-	3.2e-12	51.6	Kunitz-type serine protease inhibitor PILP-3 OS=Bungarus multicinctus OX=8616 PE=3 SV=1
sp|P81547|VKT1_ANTAF	-	3.4e-12	51.5	PI-actitoxin-Axm2a OS=Anthopleura aff. xanthogrammica OX=152178 PE=1 SV=1
sp|P20229|VKTTI_NAJNA	-	3.4e-12	51.5	Kunitz-type serine protease inhibitor OS=Naja naja OX=35670 PE=1 SV=1
sp|B4ESA3|VKT2L_BUNMU	-	4.6e-12	51.1	Kunitz-type serine protease inhibitor PILP-2 OS=Bungarus multicinctus OX=8616 PE=3 SV=1
sp|P0DN17|VKTD_ANEVI	-	4.7e-12	51.0	U-actitoxin-Avd3p OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|P0DQR1|VKT3_PALCA	-	4.9e-12	51.0	Kunitz-like toxin PcKuz3 OS=Palythoa caribaeorum OX=134933 PE=3 SV=1
sp|Q8AY42|VKTB_BUNCA	-	4.9e-12	51.0	Kunitz-type serine protease inhibitor B OS=Bungarus candidus OX=92438 PE=2 SV=2
sp|F8J2F3|VKT28_DRYCN	-	5.4e-12	50.9	Kunitz-type serine protease inhibitor 28 OS=Drysdalia coronoides OX=66186 PE=1 SV=1
sp|B5KF95|VKT1_CRYNI	-	5.7e-12	50.8	Kunitz-type serine protease inhibitor nigrescinin-1 OS=Cryptophis nigrescens OX=292442 PE=2 SV=1
sp|B5KL36|VKT5_CRYNI	-	5.8e-12	50.8	Kunitz-type serine protease inhibitor nigrescinin-5 OS=Cryptophis nigrescens OX=292442 PE=2 SV=1
sp|A5X2X1|VKT_SISCA	-	6.4e-12	50.6	Fused toxin protein OS=Sistrurus catenatus edwardsii OX=8762 PE=2 SV=1
sp|Q8T3S7|VKT1_ARAVE	-	6.6e-12	50.6	Kunitz-type U1-aranetoxin-Av1a OS=Araneus ventricosus OX=182803 PE=1 SV=2
sp|P0DN10|VKT6_ANEVI	-	8.5e-12	50.2	U-actitoxin-Avd3i OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|P0DJ50|VKT31_OLIMR	-	9.1e-12	50.1	Kunitz-type serine protease inhibitor BmKTT-2 OS=Olivierus martensii OX=34649 PE=1 SV=2
sp|C0HK73|3BPI_HETMG	-	9.2e-12	50.1	PI-stichotoxin-Hmg3b OS=Heteractis magnifica OX=38281 PE=1 SV=1
sp|Q90WA1|VKT1_PSETT	-	9.9e-12	50.0	Kunitz-type serine protease inhibitor textilinin-1 OS=Pseudonaja textilis textilis OX=169397 PE=1 SV=1
sp|P81129|VKT2_STIHL	-	1.1e-11	49.8	PI-stichotoxin-She2b OS=Stichodactyla helianthus OX=6123 PE=1 SV=1
sp|Q9TWF8|VKT3_ANESU	-	1.1e-11	49.8	KappaPI-actitoxin-Avd3d OS=Anemonia sulcata OX=6108 PE=1 SV=1
sp|P0DV04|VKT2N_RADCR	-	1.1e-11	49.8	PI-stichotoxin-Hcr2n OS=Radianthus crispa OX=3122430 PE=3 SV=1
sp|Q964Q0|IXOSP_IXOSC	-	1.3e-11	49.6	Ixolaris OS=Ixodes scapularis OX=6945 PE=1 SV=1
sp|B5L5R7|VKT2_HOPST	-	1.4e-11	49.6	Kunitz-type serine protease inhibitor stephenin-2 OS=Hoplocephalus stephensii OX=196418 PE=3 SV=1
sp|B2ZBB6|VKT11_CYRSC	-	1.4e-11	49.6	Kunitz-type kappaPI-theraphotoxin-Hs1b OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|Q7TQN3|WFKN2_MOUSE	-	1.4e-11	49.5	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 OS=Mus musculus OX=10090 GN=Wfikkn2 PE=1 SV=2
sp|Q9TWG0|VKT1_ANESU	-	1.5e-11	49.5	KappaPI-actitoxin-Avd3b OS=Anemonia sulcata OX=6108 PE=1 SV=1
sp|P0DMJ3|VKTI1_ANTFU	-	1.5e-11	49.4	PI-actitoxin-Afv2a OS=Anthopleura fuscoviridis OX=6111 PE=1 SV=1
sp|P0DN14|VKTA_ANEVI	-	1.5e-11	49.4	U-actitoxin-Avd3m OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|P81902|CSTI_BOMMO	-	1.6e-11	49.4	Trypsin inhibitor OS=Bombyx mori OX=7091 PE=1 SV=1
sp|P0DMJ2|VKT3C_ACTEQ	-	1.6e-11	49.4	PI-actitoxin-Aeq3c OS=Actinia equina OX=6106 PE=1 SV=1
sp|P68425|VKT1A_CYRSC	-	1.7e-11	49.3	Kunitz-type kappaPI-theraphotoxin-Hs1a OS=Cyriopagopus schmidti OX=29017 PE=1 SV=2
sp|A8Y7N4|VKTC1_DABSI	-	1.7e-11	49.3	Kunitz-type serine protease inhibitor C1 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|H6VC05|VKTK1_DABRR	-	1.7e-11	49.3	Kunitz-type serine protease inhibitor DrKIn-I OS=Daboia russelii OX=8707 PE=1 SV=1
sp|A7X3V4|VKT1_TELDH	-	1.9e-11	49.1	Kunitz-type serine protease inhibitor kunitoxin-Tel1 OS=Telescopus dhara OX=338837 PE=2 SV=1
sp|P16044|IBPI_TACTR	-	2e-11	49.1	Proteinase inhibitor OS=Tachypleus tridentatus OX=6853 PE=1 SV=1
sp|B5KL37|VKT6_CRYNI	-	2e-11	49.0	Kunitz-type serine protease inhibitor nigrescinin-6 OS=Cryptophis nigrescens OX=292442 PE=2 SV=1
sp|C8YJ94|KUN2_TABYA	-	2e-11	49.0	Tabkunin 2 OS=Tabanus yao OX=485572 PE=1 SV=1
sp|B5KF96|VKT2_CRYNI	-	2.3e-11	48.8	Kunitz-type serine protease inhibitor nigrescinin-2 OS=Cryptophis nigrescens OX=292442 PE=2 SV=1
sp|P31713|VKT1_STIHL	-	2.4e-11	48.8	PI-stichotoxin-She2a OS=Stichodactyla helianthus OX=6123 PE=1 SV=1
sp|A0A6B7FBD3|VKT2I_RADCR	-	2.6e-11	48.7	PI-stichotoxin-Hcr2i OS=Radianthus crispa OX=3122430 GN=iq2c1 PE=1 SV=1
sp|P0DJ76|VKT4_CYRSC	-	2.8e-11	48.6	Kunitz-type kappaPI-theraphotoxin-Hs1e OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|Q9GP15|IRCPI_IXORI	-	2.8e-11	48.5	Kunitz-type anticoagulant protein Ir-CPI OS=Ixodes ricinus OX=34613 GN=CPI PE=2 SV=1
sp|P0DN18|VKTE_ANEVI	-	2.9e-11	48.5	U-actitoxin-Avd3q OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|B5L5R0|IVBI4_PSEPO	-	2.9e-11	48.5	Blackelin-4 OS=Pseudechis porphyriacus OX=8671 PE=3 SV=1
sp|P0DN06|VKT1A_ANEVI	-	3e-11	48.5	U-actitoxin-Avd3f OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|C0HJU6|VKT2F_RADCR	-	3e-11	48.5	PI-stichotoxin-Hcr2f OS=Radianthus crispa OX=3122430 PE=1 SV=1
sp|Q8AY41|VKTC_BUNCA	-	3e-11	48.5	Kunitz-type serine protease inhibitor C OS=Bungarus candidus OX=92438 PE=2 SV=2
sp|P0DN13|VKT9_ANEVI	-	3.1e-11	48.4	U-actitoxin-Avd3l OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|C0HK74|3CPI_HETMG	-	3.2e-11	48.4	PI-stichotoxin-Hmg3c OS=Heteractis magnifica OX=38281 PE=1 SV=1
sp|P25660|VKT9_BUNFA	-	3.2e-11	48.4	Kunitz-type serine protease inhibitor IX OS=Bungarus fasciatus OX=8613 PE=1 SV=1
sp|B5G6G6|VKT2_PSEPO	-	3.6e-11	48.2	Kunitz-type serine protease inhibitor blackelin-2 OS=Pseudechis porphyriacus OX=8671 PE=2 SV=1
sp|B5KL40|VKT3_AUSSU	-	3.6e-11	48.2	Kunitz-type serine protease inhibitor superbin-3 OS=Austrelaps superbus OX=29156 PE=2 SV=1
sp|C8YJ95|KUN3_TABYA	-	3.9e-11	48.1	Tabkunin 2 OS=Tabanus yao OX=485572 PE=1 SV=1
sp|A8Y7N8|VKTC5_DABSI	-	4.1e-11	48.0	Kunitz-type serine protease inhibitor C5 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|Q8TEU8|WFKN2_HUMAN	-	4.1e-11	48.0	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 OS=Homo sapiens OX=9606 GN=WFIKKN2 PE=1 SV=1
sp|Q90WA0|VKT2_PSETT	-	4.3e-11	48.0	Kunitz-type serine protease inhibitor textilinin-2 OS=Pseudonaja textilis textilis OX=169397 PE=1 SV=1
sp|A8Y7N7|VKTC4_DABSI	-	4.4e-11	47.9	Kunitz-type serine protease inhibitor C4 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|B1B5I8|VKT3_STIHA	-	4.6e-11	47.9	KappaPI-stichotoxin-Shd2a OS=Stichodactyla haddoni OX=475174 PE=1 SV=1
sp|A7X3V7|VKT1_PHIOL	-	4.6e-11	47.9	Kunitz-type serine protease inhibitor kunitoxin-Phi1 OS=Philodryas olfersii OX=120305 PE=2 SV=1
sp|A6MFL4|VKT4_DEMVE	-	5e-11	47.8	Kunitz-type serine protease inhibitor vestiginin-4 OS=Demansia vestigiata OX=412038 PE=2 SV=1
sp|P0DMJ5|VKT2E_RADCR	-	5e-11	47.8	PI-stichotoxin-Hcr2e OS=Radianthus crispa OX=3122430 PE=1 SV=1
sp|A8Y7P3|VKTB3_DABSI	-	5.1e-11	47.7	Kunitz-type serine protease inhibitor B3 OS=Daboia siamensis OX=343250 PE=3 SV=1
sp|B5KL39|VKT2_AUSSU	-	5.6e-11	47.6	Kunitz-type serine protease inhibitor superbin-2 OS=Austrelaps superbus OX=29156 PE=2 SV=1
sp|A8Y7N6|VKTC3_DABSI	-	5.7e-11	47.6	Kunitz-type serine protease inhibitor C3 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|P00990|VKT2_DABSI	-	5.7e-11	47.6	Kunitz-type serine protease inhibitor 2 OS=Daboia siamensis OX=343250 PE=1 SV=1
sp|C1IBY4|KUN1_TABYA	-	6.4e-11	47.4	Tabkunin 1 OS=Tabanus yao OX=485572 PE=3 SV=1
sp|A8Y7P6|VKTB6_DABSI	-	6.4e-11	47.4	Kunitz-type serine protease inhibitor B6 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|B5L5R4|IVBI4_NOTSC	-	6.5e-11	47.4	Tigerin-4 OS=Notechis scutatus scutatus OX=70142 PE=3 SV=1
