query	subject	e_value	bitscore	pident	length
Q28719	sp|O95428|PPN_HUMAN	2.8	20.4	45.455	22
Q28719	sp|P12111|CO6A3_HUMAN	3.9	20.0	33.333	30
Q28719	sp|P12111|CO6A3_HUMAN	6.7	19.2	34.615	26
Q12414	sp|P02760|AMBP_HUMAN	0.43	25.4	35.135	37
Q12414	sp|P12111|CO6A3_HUMAN	2.2	23.1	50.0	16
Q12414	sp|Q02388|CO7A1_HUMAN	3.6	22.7	30.769	52
Q7LZ71	sp|Q06481|APLP2_HUMAN	1.6	19.2	29.63	27
Q7LZ71	sp|O43278|SPIT1_HUMAN	5.4	17.7	22.917	48
Q7LZ71	sp|Q8TEU8|WFKN2_HUMAN	6.5	17.3	25.0	20
Q18LF8	sp|Q02388|CO7A1_HUMAN	1.5	22.3	47.619	21
Q18LF8	sp|Q8IUA0|WFDC8_HUMAN	2.7	21.2	33.333	24
Q332W1	sp|Q8TEU8|WFKN2_HUMAN	0.77	19.2	40.909	22
Q332W1	sp|Q06481|APLP2_HUMAN	4.4	17.3	54.545	11
Q332W1	sp|Q02388|CO7A1_HUMAN	6.4	16.5	37.931	29
Q332W1	sp|Q02388|CO7A1_HUMAN	8.6	16.2	60.0	10
Q332W1	sp|P10646|TFPI1_HUMAN	8.9	16.2	71.429	7
Q9X295	sp|O43278|SPIT1_HUMAN	1.5	21.6	27.778	36
Q9X295	sp|Q2UY09|COSA1_HUMAN	3.1	20.4	30.0	50
Q9X295	sp|Q2UY09|COSA1_HUMAN	9.7	18.9	56.25	16
Q9X295	sp|Q02388|CO7A1_HUMAN	6.2	19.6	23.333	60
Q9X295	sp|P05067|A4_HUMAN	8.5	18.9	28.889	45
Q9X295	sp|P12111|CO6A3_HUMAN	8.6	19.2	40.909	22
P97570	sp|P12111|CO6A3_HUMAN	0.065	26.9	27.419	62
P97570	sp|P12111|CO6A3_HUMAN	3.3	21.6	43.478	23
P97570	sp|P12111|CO6A3_HUMAN	3.5	21.6	35.556	45
P97570	sp|P12111|CO6A3_HUMAN	4.2	21.2	45.455	22
P97570	sp|O43278|SPIT1_HUMAN	4.1	21.2	28.814	59
P97570	sp|P49223|SPIT3_HUMAN	4.6	20.0	40.0	15
P97570	sp|Q2UY09|COSA1_HUMAN	4.8	20.8	27.778	36
P51242	sp|P12111|CO6A3_HUMAN	0.4	23.9	40.0	35
P51242	sp|P12111|CO6A3_HUMAN	8.7	19.2	33.333	21
P51242	sp|Q02388|CO7A1_HUMAN	1.2	22.3	42.424	33
P51242	sp|P10646|TFPI1_HUMAN	4.9	20.0	30.0	20
P51242	sp|Q2UY09|COSA1_HUMAN	9.7	19.2	32.143	28
Q07759	sp|P12111|CO6A3_HUMAN	0.27	24.6	25.455	110
Q07759	sp|Q02388|CO7A1_HUMAN	2.2	21.6	32.432	37
Q07759	sp|Q02388|CO7A1_HUMAN	6.2	20.0	43.75	16
Q07759	sp|Q02388|CO7A1_HUMAN	6.2	20.0	34.043	47
Q07759	sp|O95428|PPN_HUMAN	3.7	20.8	36.842	19
Q07759	sp|P05067|A4_HUMAN	5.1	20.4	36.364	22
Q07759	sp|P05067|A4_HUMAN	5.2	20.4	24.324	74
Q1GTM7	sp|P12111|CO6A3_HUMAN	4.5	19.6	33.333	27
Q1GTM7	sp|P12111|CO6A3_HUMAN	8.3	18.9	26.531	49
Q1GTM7	sp|Q06481|APLP2_HUMAN	4.8	19.6	36.0	25
Q48C90	sp|P12111|CO6A3_HUMAN	1.9	19.6	58.333	12
Q48C90	sp|P12111|CO6A3_HUMAN	3.4	18.9	24.39	41
Q48C90	sp|P12111|CO6A3_HUMAN	8.3	17.7	25.275	91
Q48C90	sp|Q02388|CO7A1_HUMAN	6.0	18.1	42.105	19
Q8C779	sp|Q96NZ8|WFKN1_HUMAN	1.4	22.7	34.375	32
Q8C779	sp|Q96NZ8|WFKN1_HUMAN	8.7	20.0	37.931	29
Q8C779	sp|Q96NZ8|WFKN1_HUMAN	9.3	20.0	37.037	27
Q8C779	sp|P05067|A4_HUMAN	2.6	21.9	26.471	34
Q8C779	sp|Q02388|CO7A1_HUMAN	3.8	21.6	34.483	29
Q8C779	sp|O43291|SPIT2_HUMAN	4.2	20.8	30.233	43
O43913	sp|O95428|PPN_HUMAN	3.0	20.8	26.667	30
O43913	sp|P12111|CO6A3_HUMAN	9.5	19.2	37.5	24
B7HCQ3	sp|Q02388|CO7A1_HUMAN	0.098	25.4	48.276	29
B7HCQ3	sp|Q02388|CO7A1_HUMAN	1.4	21.6	30.357	56
B7HCQ3	sp|Q02388|CO7A1_HUMAN	7.8	19.2	47.368	19
Q0ICI5	sp|O43278|SPIT1_HUMAN	0.97	21.9	35.714	28
Q0ICI5	sp|Q02388|CO7A1_HUMAN	7.5	19.2	33.333	27
A9BGW2	sp|Q02388|CO7A1_HUMAN	0.65	23.5	27.907	86
A9BGW2	sp|Q02388|CO7A1_HUMAN	3.5	20.8	50.0	14
A9BGW2	sp|P12111|CO6A3_HUMAN	9.5	19.6	50.0	12
Q8AXS4	sp|P12111|CO6A3_HUMAN	1.6	20.0	45.0	20
Q8AXS4	sp|P12111|CO6A3_HUMAN	1.9	19.6	30.233	43
Q8AXS4	sp|Q8TEU8|WFKN2_HUMAN	1.6	19.6	25.0	44
Q8AXS4	sp|Q8IUA0|WFDC8_HUMAN	5.8	18.1	50.0	18
B5ERJ0	sp|Q02388|CO7A1_HUMAN	2.7	20.8	30.435	69
B5ERJ0	sp|P12111|CO6A3_HUMAN	3.2	20.4	31.746	63
B5ERJ0	sp|P12111|CO6A3_HUMAN	6.3	19.6	50.0	12
B5ERJ0	sp|P05067|A4_HUMAN	3.6	20.4	25.0	52
Q0TKT1	sp|P12111|CO6A3_HUMAN	0.26	25.4	25.0	72
Q0TKT1	sp|P12111|CO6A3_HUMAN	8.9	20.4	29.032	31
Q0TKT1	sp|Q2UY09|COSA1_HUMAN	0.58	24.3	28.571	35
Q0TKT1	sp|O95428|PPN_HUMAN	1.6	23.1	28.571	42
Q0TKT1	sp|O95428|PPN_HUMAN	7.3	20.8	27.273	55
Q0TKT1	sp|Q8IUA0|WFDC8_HUMAN	4.7	21.2	30.0	20
Q0TKT1	sp|P05067|A4_HUMAN	9.2	20.4	38.095	21
A8F8B7	sp|O43278|SPIT1_HUMAN	0.28	25.0	32.258	31
A8F8B7	sp|Q02388|CO7A1_HUMAN	2.2	21.9	28.571	77
Q9P7Q7	sp|O95428|PPN_HUMAN	4.7	21.9	28.571	77
Q9P7Q7	sp|Q02388|CO7A1_HUMAN	6.0	21.9	36.364	22
Q9P7Q7	sp|Q02388|CO7A1_HUMAN	9.7	21.2	28.571	21
Q9P7Q7	sp|O43291|SPIT2_HUMAN	6.7	21.2	26.19	84
Q9P7Q7	sp|P12111|CO6A3_HUMAN	8.4	21.2	36.364	22
Q6Q8B3	sp|Q96NZ8|WFKN1_HUMAN	2.1	20.4	34.375	32
Q6Q8B3	sp|O95428|PPN_HUMAN	3.5	19.6	32.692	52
Q6Q8B3	sp|P02760|AMBP_HUMAN	5.5	18.9	50.0	14
Q6Q8B3	sp|P12111|CO6A3_HUMAN	7.6	18.5	38.235	34
C1B025	sp|Q06481|APLP2_HUMAN	1.6	17.7	35.294	17
Q8MJ03	sp|P12111|CO6A3_HUMAN	8.7	21.6	34.483	29
Q8MJ03	sp|O43278|SPIT1_HUMAN	9.0	21.6	27.419	62
B3W8W8	sp|Q02388|CO7A1_HUMAN	0.48	18.5	42.857	14
B3W8W8	sp|P02760|AMBP_HUMAN	3.0	16.5	31.818	22
B0BST5	sp|P12111|CO6A3_HUMAN	0.77	19.6	41.667	24
B0BST5	sp|Q2UY09|COSA1_HUMAN	9.9	16.2	35.294	17
Q6PGT3	sp|P12111|CO6A3_HUMAN	2.6	21.6	36.842	19
Q6PGT3	sp|Q8TEU8|WFKN2_HUMAN	2.8	21.6	31.25	32
Q6PGT3	sp|Q8TEU8|WFKN2_HUMAN	9.9	19.6	30.303	33
Q6PGT3	sp|Q8IUA0|WFDC8_HUMAN	5.8	20.4	32.558	43
Q6PGT3	sp|P02760|AMBP_HUMAN	6.1	20.4	54.545	11
Q6PGT3	sp|Q6UDR6|SPIT4_HUMAN	9.8	18.9	34.615	26
Q8JN60	sp|O95428|PPN_HUMAN	0.006	32.0	28.261	92
Q8JN60	sp|O95428|PPN_HUMAN	0.47	25.8	23.346	257
Q8JN60	sp|O95428|PPN_HUMAN	6.5	21.9	39.286	28
Q8JN60	sp|P12111|CO6A3_HUMAN	1.3	24.3	37.838	37
Q8JN60	sp|P12111|CO6A3_HUMAN	2.4	23.5	47.059	17
Q8JN60	sp|P12111|CO6A3_HUMAN	5.2	22.3	23.596	89
Q8JN60	sp|P12111|CO6A3_HUMAN	7.1	21.9	25.0	52
Q8JN60	sp|P12111|CO6A3_HUMAN	9.6	21.6	35.135	37
Q8JN60	sp|Q8IUA0|WFDC8_HUMAN	3.1	22.7	35.417	48
Q8JN60	sp|Q02388|CO7A1_HUMAN	4.7	22.7	34.884	43
Q8JN60	sp|Q02388|CO7A1_HUMAN	8.7	21.6	31.034	58
Q8JN60	sp|Q02388|CO7A1_HUMAN	9.3	21.6	32.258	31
Q5L715	sp|P12111|CO6A3_HUMAN	0.75	20.0	27.66	47
Q5L715	sp|Q02388|CO7A1_HUMAN	2.5	18.5	36.842	19
Q5L715	sp|Q96NZ8|WFKN1_HUMAN	5.0	17.7	77.778	9
Q914J3	sp|P12111|CO6A3_HUMAN	0.88	19.2	24.59	61
Q914J3	sp|P12111|CO6A3_HUMAN	5.7	16.9	37.5	32
A5U8B7	sp|P12111|CO6A3_HUMAN	0.18	24.6	27.941	68
A5U8B7	sp|P12111|CO6A3_HUMAN	2.6	20.8	26.562	64
A5U8B7	sp|P12111|CO6A3_HUMAN	7.5	19.6	23.75	80
A5U8B7	sp|Q96NZ8|WFKN1_HUMAN	7.3	19.2	30.0	30
C0MCB8	sp|Q2UY09|COSA1_HUMAN	0.38	19.6	44.444	18
C0MCB8	sp|Q2UY09|COSA1_HUMAN	8.2	15.8	42.857	14
C0MCB8	sp|P12111|CO6A3_HUMAN	2.7	17.3	32.0	25
C0MCB8	sp|P12111|CO6A3_HUMAN	8.8	15.8	41.667	12
C0MCB8	sp|Q06481|APLP2_HUMAN	5.5	16.5	43.478	23
C0MCB8	sp|P05067|A4_HUMAN	7.5	16.2	26.415	53
P53937	sp|Q02388|CO7A1_HUMAN	2.3	19.2	26.923	26
P53937	sp|Q02388|CO7A1_HUMAN	3.0	18.9	54.545	11
P53937	sp|Q6UDR6|SPIT4_HUMAN	5.0	17.7	35.484	31
P53937	sp|O95428|PPN_HUMAN	7.4	17.7	45.455	11
P53937	sp|P12111|CO6A3_HUMAN	8.8	17.3	30.303	33
Q9C633	sp|Q2UY09|COSA1_HUMAN	4.6	19.2	27.027	37
Q9C633	sp|P49223|SPIT3_HUMAN	5.5	18.1	38.71	31
Q9C633	sp|Q02388|CO7A1_HUMAN	8.2	18.5	25.862	58
B4TZX8	sp|Q2UY09|COSA1_HUMAN	6.6	15.8	27.273	33
B4TZX8	sp|P12111|CO6A3_HUMAN	8.4	15.4	85.714	7
B4TZX8	sp|P12111|CO6A3_HUMAN	9.1	15.4	47.059	17
P21688	sp|O43278|SPIT1_HUMAN	2.8	19.2	22.581	31
P21688	sp|P12111|CO6A3_HUMAN	3.7	18.9	46.667	15
P21688	sp|O95428|PPN_HUMAN	5.1	18.5	32.258	31
P21688	sp|O95428|PPN_HUMAN	7.2	18.1	25.0	76
P21688	sp|Q02388|CO7A1_HUMAN	5.7	18.1	26.316	76
O58307	sp|Q02388|CO7A1_HUMAN	7.2	17.7	53.846	13
O58307	sp|Q8IUA0|WFDC8_HUMAN	7.5	17.7	31.579	38
Q8W4J9	sp|O95925|EPPI_HUMAN	2.1	21.6	25.714	35
Q8W4J9	sp|P05067|A4_HUMAN	3.1	21.6	26.087	46
Q8W4J9	sp|P05067|A4_HUMAN	4.9	21.2	23.913	46
Q8W4J9	sp|O95428|PPN_HUMAN	3.2	21.6	20.339	177
Q8W4J9	sp|P12111|CO6A3_HUMAN	3.2	21.6	62.5	16
Q8W4J9	sp|Q8TEU8|WFKN2_HUMAN	6.3	20.8	40.909	22
Q2MY43	sp|O95428|PPN_HUMAN	0.99	21.9	40.0	30
Q2MY43	sp|Q8TEU8|WFKN2_HUMAN	1.4	21.6	30.233	43
Q2MY43	sp|Q96NZ8|WFKN1_HUMAN	2.5	20.8	27.907	43
Q2MY43	sp|Q2UY09|COSA1_HUMAN	2.8	20.4	21.951	82
Q2MY43	sp|Q2UY09|COSA1_HUMAN	8.7	18.9	27.586	58
Q2MY43	sp|P12111|CO6A3_HUMAN	3.9	20.0	25.0	64
Q2MY43	sp|Q9BQY6|WFDC6_HUMAN	7.2	18.9	30.769	39
Q92196	sp|Q02388|CO7A1_HUMAN	2.5	19.2	38.462	26
Q92196	sp|O95428|PPN_HUMAN	8.6	17.7	25.333	75
P67819	sp|Q2UY09|COSA1_HUMAN	1.7	19.6	36.842	19
Q34683	sp|P12111|CO6A3_HUMAN	0.63	22.7	55.0	20
Q34683	sp|Q02388|CO7A1_HUMAN	5.0	19.6	31.429	35
Q34683	sp|Q02388|CO7A1_HUMAN	7.5	19.2	47.826	23
Q34683	sp|O43278|SPIT1_HUMAN	8.3	18.9	29.412	34
Q9I0M3	sp|P12111|CO6A3_HUMAN	0.29	25.0	26.667	75
Q9I0M3	sp|P12111|CO6A3_HUMAN	0.7	23.9	36.364	22
Q9I0M3	sp|P12111|CO6A3_HUMAN	2.4	21.9	33.333	48
Q9I0M3	sp|P12111|CO6A3_HUMAN	4.5	21.2	52.941	17
Q9I0M3	sp|P12111|CO6A3_HUMAN	5.1	20.8	40.909	22
Q9I0M3	sp|P12111|CO6A3_HUMAN	5.9	20.8	62.5	16
Q9I0M3	sp|P12111|CO6A3_HUMAN	7.3	20.4	27.5	40
Q9I0M3	sp|O95428|PPN_HUMAN	2.3	21.9	31.429	35
Q9I0M3	sp|O95428|PPN_HUMAN	4.5	21.2	46.667	15
Q9I0M3	sp|Q02388|CO7A1_HUMAN	7.7	20.4	34.615	26
C1CAV6	sp|P12111|CO6A3_HUMAN	5.5	19.6	25.806	31
C1CAV6	sp|P12111|CO6A3_HUMAN	5.5	19.6	28.571	49
C1CAV6	sp|Q02388|CO7A1_HUMAN	5.8	19.6	32.5	40
Q8BHG9	sp|P12111|CO6A3_HUMAN	4.4	18.5	42.308	26
Q8BHG9	sp|P12111|CO6A3_HUMAN	8.4	17.7	29.63	27
Q8BHG9	sp|Q96NZ8|WFKN1_HUMAN	4.6	18.5	40.909	22
Q8BHG9	sp|O95428|PPN_HUMAN	5.0	18.5	46.667	15
Q8BHG9	sp|O43278|SPIT1_HUMAN	7.1	17.7	26.471	34
Q8BHG9	sp|P48307|TFPI2_HUMAN	7.4	17.7	45.455	11
Q8BHG9	sp|P05067|A4_HUMAN	7.5	17.7	24.658	73
Q8BHG9	sp|P10646|TFPI1_HUMAN	8.2	17.7	54.545	11
Q51910	sp|P12111|CO6A3_HUMAN	2.9	21.6	53.333	15
Q51910	sp|P12111|CO6A3_HUMAN	3.2	21.6	21.053	57
Q51910	sp|O95428|PPN_HUMAN	4.0	21.2	36.111	36
Q51910	sp|Q96NZ8|WFKN1_HUMAN	4.4	20.8	50.0	14
Q51910	sp|P02760|AMBP_HUMAN	8.6	19.6	18.75	64
B5XPB9	sp|P12111|CO6A3_HUMAN	0.2	25.8	22.881	118
B5XPB9	sp|Q9BQY6|WFDC6_HUMAN	2.3	21.6	42.857	14
B7NLK8	sp|Q02388|CO7A1_HUMAN	0.55	23.1	43.333	30
B7NLK8	sp|Q2UY09|COSA1_HUMAN	2.3	21.2	41.379	29
B7NLK8	sp|Q06481|APLP2_HUMAN	3.6	20.4	23.256	86
B7NLK8	sp|P12111|CO6A3_HUMAN	9.9	18.9	35.484	31
B7LT86	sp|Q2UY09|COSA1_HUMAN	0.11	25.4	40.0	30
B7LT86	sp|Q02388|CO7A1_HUMAN	0.42	23.9	25.352	71
B7LT86	sp|O95428|PPN_HUMAN	4.4	20.4	38.71	31
B7LT86	sp|P48307|TFPI2_HUMAN	8.2	19.2	38.095	21
B2TD41	sp|P10646|TFPI1_HUMAN	0.55	21.9	32.258	31
B2TD41	sp|P10646|TFPI1_HUMAN	2.2	20.0	32.0	25
B2TD41	sp|O95428|PPN_HUMAN	1.8	20.4	27.586	58
B2TD41	sp|O95428|PPN_HUMAN	4.7	19.2	31.481	54
B2TD41	sp|P49223|SPIT3_HUMAN	3.9	18.9	30.435	23
B2TD41	sp|Q8IUA0|WFDC8_HUMAN	4.8	18.9	37.5	16
B2TD41	sp|P12111|CO6A3_HUMAN	8.7	18.5	33.333	42
Q04BY9	sp|Q96NZ8|WFKN1_HUMAN	2.6	20.4	38.889	36
Q04BY9	sp|P12111|CO6A3_HUMAN	2.6	20.4	24.51	102
Q04BY9	sp|Q06481|APLP2_HUMAN	2.7	20.4	23.636	55
Q04BY9	sp|Q2UY09|COSA1_HUMAN	4.0	19.6	39.13	23
Q74HC8	sp|P48307|TFPI2_HUMAN	0.92	21.6	24.359	78
Q74HC8	sp|Q2UY09|COSA1_HUMAN	4.5	19.6	34.483	29
Q74HC8	sp|Q8TEU8|WFKN2_HUMAN	5.5	19.2	30.556	36
P04063	sp|P12111|CO6A3_HUMAN	1.8	21.6	27.273	66
P04063	sp|Q8TEU8|WFKN2_HUMAN	5.1	20.0	25.714	35
P04063	sp|Q02388|CO7A1_HUMAN	5.1	20.0	37.5	24
C3LQT6	sp|P02760|AMBP_HUMAN	1.9	20.4	31.579	57
C3LQT6	sp|Q02388|CO7A1_HUMAN	9.7	18.1	42.105	19
Q812R8	sp|Q02388|CO7A1_HUMAN	4.5	17.3	28.571	21
Q812R8	sp|O95428|PPN_HUMAN	4.6	17.3	50.0	10
Q54UD0	sp|O43291|SPIT2_HUMAN	5.4	19.2	26.316	19
Q54UD0	sp|Q02388|CO7A1_HUMAN	8.4	18.9	28.0	75
Q54UD0	sp|Q02388|CO7A1_HUMAN	9.2	18.5	52.632	19
B7VJ87	sp|P12111|CO6A3_HUMAN	1.8	22.7	34.146	41
B7VJ87	sp|P12111|CO6A3_HUMAN	6.3	20.8	45.455	22
B7VJ87	sp|P10646|TFPI1_HUMAN	4.3	21.2	30.435	23
B7VJ87	sp|P48307|TFPI2_HUMAN	6.7	20.4	30.0	20
B7VJ87	sp|O43278|SPIT1_HUMAN	8.0	20.4	33.333	21
Q5UNT8	sp|Q8TEU8|WFKN2_HUMAN	0.23	23.1	22.034	59
Q5UNT8	sp|Q2UY09|COSA1_HUMAN	0.97	21.2	23.913	92
Q5UNT8	sp|P05067|A4_HUMAN	9.8	18.1	24.074	54
C0Z4E5	sp|O95428|PPN_HUMAN	3.1	20.8	28.571	49
C0Z4E5	sp|O95428|PPN_HUMAN	4.5	20.4	53.846	13
C0Z4E5	sp|P12111|CO6A3_HUMAN	4.1	20.4	31.034	29
Q7SBC5	sp|P12111|CO6A3_HUMAN	0.24	24.3	36.0	25
Q7SBC5	sp|Q02388|CO7A1_HUMAN	4.0	20.0	40.0	20
Q7SBC5	sp|O43278|SPIT1_HUMAN	6.6	19.2	23.214	56
Q7SBC5	sp|P48307|TFPI2_HUMAN	9.8	18.5	21.053	38
Q1CJK4	sp|P05067|A4_HUMAN	1.3	21.2	41.667	24
Q1CJK4	sp|Q06481|APLP2_HUMAN	3.4	20.0	42.857	21
Q1CJK4	sp|Q8TEU8|WFKN2_HUMAN	3.9	19.6	30.435	46
Q1CJK4	sp|P02760|AMBP_HUMAN	8.9	18.5	31.818	44
Q1CJK4	sp|O43278|SPIT1_HUMAN	9.5	18.5	58.333	12
A5GN78	sp|O95428|PPN_HUMAN	1.0	20.0	40.741	27
A5GN78	sp|Q02388|CO7A1_HUMAN	4.1	18.1	47.059	17
A5GN78	sp|P12111|CO6A3_HUMAN	5.9	17.7	37.5	16
A5GN78	sp|P12111|CO6A3_HUMAN	6.5	17.3	31.818	22
Q9SYT0	sp|P02760|AMBP_HUMAN	0.17	23.9	35.294	34
Q9SYT0	sp|P10646|TFPI1_HUMAN	2.1	20.4	46.667	15
Q9SYT0	sp|P12111|CO6A3_HUMAN	2.1	20.8	29.545	44
Q9SYT0	sp|P12111|CO6A3_HUMAN	2.3	20.4	41.935	31
Q9SYT0	sp|P12111|CO6A3_HUMAN	3.5	20.0	25.397	63
Q9SYT0	sp|P12111|CO6A3_HUMAN	5.5	19.2	31.818	44
Q9SYT0	sp|O43278|SPIT1_HUMAN	4.3	19.6	25.352	71
Q2RQY4	sp|Q02388|CO7A1_HUMAN	4.6	19.6	53.333	15
Q2RQY4	sp|Q02388|CO7A1_HUMAN	9.0	18.9	28.358	67
Q2RQY4	sp|Q06481|APLP2_HUMAN	8.0	18.9	17.391	23
Q2RQY4	sp|O95428|PPN_HUMAN	8.2	18.9	46.667	15
Q2RQY4	sp|P12111|CO6A3_HUMAN	8.5	18.9	29.032	62
Q2MJV8	sp|Q8TEU8|WFKN2_HUMAN	2.0	21.2	34.483	29
Q2MJV8	sp|Q06481|APLP2_HUMAN	4.7	19.6	37.838	37
Q2MJV8	sp|O43278|SPIT1_HUMAN	5.9	19.6	26.606	109
Q2MJV8	sp|P12111|CO6A3_HUMAN	8.1	19.2	30.769	26
Q2MJV8	sp|P12111|CO6A3_HUMAN	9.8	18.9	25.0	52
A3CLS2	sp|Q02388|CO7A1_HUMAN	0.014	26.6	38.298	47
A3CLS2	sp|Q02388|CO7A1_HUMAN	0.52	21.9	33.333	48
A3CLS2	sp|P12111|CO6A3_HUMAN	0.16	23.5	24.038	104
A3CLS2	sp|P12111|CO6A3_HUMAN	1.2	20.8	21.795	78
A3CLS2	sp|P12111|CO6A3_HUMAN	3.5	19.2	58.333	12
A3CLS2	sp|P12111|CO6A3_HUMAN	4.6	18.9	36.0	25
A3CLS2	sp|P12111|CO6A3_HUMAN	4.6	18.9	29.032	31
A3CLS2	sp|Q6UDR6|SPIT4_HUMAN	7.5	17.7	42.857	14
P15187	sp|P10646|TFPI1_HUMAN	0.6	23.5	29.032	31
P15187	sp|P10646|TFPI1_HUMAN	7.5	20.0	33.333	27
P15187	sp|O95428|PPN_HUMAN	3.1	21.6	28.261	46
P15187	sp|O95428|PPN_HUMAN	4.4	21.2	20.619	97
P15187	sp|Q02388|CO7A1_HUMAN	7.0	20.4	22.414	58
P15187	sp|P05067|A4_HUMAN	7.5	20.4	22.535	71
P15187	sp|P12111|CO6A3_HUMAN	9.8	20.0	40.909	22
Q7A184	sp|P12111|CO6A3_HUMAN	0.11	21.9	30.435	46
Q7A184	sp|P12111|CO6A3_HUMAN	1.7	18.9	54.545	11
Q7A184	sp|P05067|A4_HUMAN	9.9	16.5	43.75	16
C5FZT5	sp|O95428|PPN_HUMAN	4.5	20.0	42.857	14
Q08506	sp|P10646|TFPI1_HUMAN	0.34	23.1	31.579	57
Q08506	sp|O95428|PPN_HUMAN	4.2	19.6	32.143	28
Q08506	sp|O95428|PPN_HUMAN	4.4	19.6	45.0	20
Q08506	sp|P12111|CO6A3_HUMAN	5.3	19.2	27.941	68
Q08506	sp|P12111|CO6A3_HUMAN	9.2	18.5	29.688	64
Q08506	sp|Q02388|CO7A1_HUMAN	8.6	18.9	28.947	38
Q08506	sp|Q02388|CO7A1_HUMAN	8.9	18.9	43.75	16
A2RNN8	sp|Q02388|CO7A1_HUMAN	0.65	21.2	41.667	36
A2RNN8	sp|O95428|PPN_HUMAN	1.6	20.0	28.846	52
A2RNN8	sp|O95428|PPN_HUMAN	2.2	19.6	34.146	41
A2RNN8	sp|P12111|CO6A3_HUMAN	3.9	18.9	41.667	24
A2RNN8	sp|P12111|CO6A3_HUMAN	5.6	18.5	17.949	39
A2RNN8	sp|P12111|CO6A3_HUMAN	7.6	18.1	30.769	39
A2RNN8	sp|P12111|CO6A3_HUMAN	9.8	17.7	44.444	27
A2RNN8	sp|Q2UY09|COSA1_HUMAN	9.3	17.7	66.667	9
Q0C8Z1	sp|P12111|CO6A3_HUMAN	0.81	21.9	46.154	26
Q0C8Z1	sp|P12111|CO6A3_HUMAN	6.7	18.9	26.582	79
Q9DFR6	sp|P12111|CO6A3_HUMAN	0.12	23.1	26.667	45
