accession	length	label
Q8GVB5	520	negative
P36553	299	negative
A1REM9	145	negative
B5F4M4	397	negative
A0Q3H6	153	negative
Q47NZ5	249	negative
Q9WVL3	1083	negative
Q4FPB0	166	negative
P53588	435	negative
Q2U6C4	1523	negative
Q8CTT4	231	negative
O43024	963	negative
Q6FWU4	438	negative
A5W848	247	negative
A6V1E6	201	negative
Q73X58	304	negative
B8H164	96	negative
Q6XZH2	379	negative
Q31V27	69	negative
Q0RBC4	609	negative
Q0AHC6	206	negative
P60096	125	negative
A1T068	234	negative
P0DB10	162	negative
B8D8U3	274	negative
Q2NTW6	114	negative
P01159	15	negative
Q4L6F0	112	negative
A4W529	341	negative
Q5F840	242	negative
Q28635	318	negative
B1Y2G9	104	negative
A8H6K3	383	negative
P43247	935	negative
Q2UUI8	253	negative
Q1GC80	405	negative
O60931	367	negative
P01987	142	negative
Q9Z0T9	787	negative
Q2RK28	395	negative
F9XMT4	232	negative
Q22795	242	negative
A6VQ29	608	negative
P00999	65	negative
C0PZ38	147	negative
Q3ZJ00	502	negative
Q8CR97	344	negative
Q8AY49	86	negative
Q0PGW2	455	negative
A7Z727	211	negative
Q6MRR3	229	negative
Q4UYG2	357	negative
Q6NI38	85	negative
P50511	286	negative
P11323	172	negative
Q7YJY8	353	negative
Q8NK50	266	negative
Q1JMC0	90	negative
B2KA24	230	negative
Q0SRF8	168	negative
P66183	73	negative
Q68W96	63	negative
Q9NTN9	838	negative
Q92262	455	negative
A0KV76	709	negative
P25017	755	negative
A8YXS1	148	negative
A0RHM6	330	negative
Q5H3I5	429	negative
P17613	334	negative
P10054	233	negative
Q91FD6	347	negative
Q479I3	301	negative
B0C1Y1	586	negative
Q0HD69	206	negative
O93918	1193	negative
Q8CSX6	449	negative
Q5WFA1	69	negative
Q5JLM1	363	negative
P24054	634	negative
Q39WQ8	178	negative
Q8Y6W7	273	negative
Q9DAR7	338	negative
P16613	176	negative
Q72JC8	337	negative
Q3M5R7	352	negative
B9DUK0	237	negative
P47014	750	negative
Q8CD94	112	negative
Q81JB2	116	negative
Q0II68	336	negative
P14202	190	negative
Q9Y698	323	negative
B8F6D8	244	negative
C0Q8D6	150	negative
B6EU02	1098	negative
O27694	272	negative
Q6YZA4	225	negative
Q57591	121	negative
Q8SRT0	277	negative
Q0N4U3	76	negative
Q8DLG3	101	negative
B4UDZ6	284	negative
P0DTM0	13	negative
Q9K7C9	303	negative
Q14HL3	188	negative
Q9Y4F1	1045	negative
A1DNW0	953	negative
A2AED3	737	negative
Q9VFX3	137	negative
Q9CQJ0	248	negative
Q7DDT2	122	negative
Q9PDE0	204	negative
Q5R8D4	147	negative
B5YJ91	280	negative
Q9UTE5	639	negative
A1UTL4	122	negative
P72181	596	negative
P0A2P0	421	negative
O14340	1310	negative
J9VH94	1230	negative
Q3IQZ0	586	negative
P33009	409	negative
A4SC45	462	negative
Q58444	498	negative
Q765P1	230	negative
Q02NA3	465	negative
Q06FP1	33	negative
P65002	551	negative
A3MFT4	360	negative
Q6F240	186	negative
P76540	166	negative
A2C9U0	878	negative
Q46AN2	428	negative
Q71X09	340	negative
P0A4J4	202	negative
A7I2H6	399	negative
Q9RX35	299	negative
Q5FKF4	435	negative
A3LWY2	520	negative
P0AG03	189	negative
P00935	386	negative
Q5HJZ5	453	negative
Q9CZS1	519	negative
P0DMI1	691	negative
Q9KUB7	126	negative
Q0HL77	449	negative
Q9YGC7	83	negative
Q6YZ97	224	negative
A7ZEZ4	227	negative
B1JL36	440	negative
O25801	346	negative
Q54970	591	negative
B7KWT5	130	negative
Q8RWG3	745	negative
B5Z4B3	406	negative
Q2NWC8	200	negative
Q9XJ58	389	negative
Q4UKI1	267	negative
O75674	476	negative
Q9PR42	943	negative
Q9VW87	162	negative
A8FR77	419	negative
Q6PBY1	267	negative
A2S4N1	314	negative
A0AIW8	591	negative
B5EN71	118	negative
Q7WQM6	637	negative
Q8HXP2	198	negative
Q07DY6	475	negative
A9R5A3	884	negative
P69684	590	negative
Q6NE63	428	negative
Q9X6P2	320	negative
Q8G7Z8	264	negative
Q5NFU6	204	negative
Q9EPW0	939	negative
Q6KAI0	982	negative
Q0SRE3	619	negative
Q88DZ3	197	negative
Q8N136	415	negative
F4JYE9	530	negative
A7MWB9	200	negative
A7HZW1	486	negative
Q6GF14	455	negative
B7M4I1	382	negative
Q326G6	551	negative
Q18EC4	218	negative
P02523	250	negative
A1REZ3	360	negative
P23004	453	negative
B2SH99	865	negative
Q5U820	1483	negative
B7JS05	462	negative
B2J1W1	394	negative
Q1GPJ7	245	negative
A6T472	511	negative
Q8BGV9	474	negative
A0RVY8	130	negative
B5XIF6	62	negative
Q7AKQ5	281	negative
B3H2X7	632	negative
Q057P1	230	negative
Q5HXE4	558	negative
Q9SMB8	226	negative
B2IS39	102	negative
P46772	209	negative
B4TVY2	256	negative
Q3SLJ8	396	negative
B7NEK6	324	negative
F7ZDR3	346	negative
P69342	216	negative
P63258	375	negative
O24151	242	negative
A7GSJ7	76	negative
P67270	247	negative
Q5FLX2	349	negative
Q746M5	244	negative
B6YRR9	663	negative
A0LEQ8	473	negative
C3MP49	209	negative
Q6PCQ0	778	negative
Q6G9M2	89	negative
Q1QEI9	257	negative
P54982	583	negative
Q5NDM8	305	negative
B1L268	315	negative
A0A345BJN9	277	negative
Q2L088	428	negative
Q1R8V2	283	negative
P56389	146	negative
P25426	333	negative
P0CK23	40	negative
A6QG89	187	negative
Q8CVS2	962	negative
